Blitz,lightning
Donner,thunder
Dunst,mist
Eis,ice
Frost,frost
Gewitter,thunderstorm
Hitze,heat
Orkan,hurricane
Nebel,fog
Regen,rain
Schauer,shower
Schnee,snow
Schneesturm,blizzard
Sonne,sun
Sturm,storm
Tornado,twister 
Trockenheit,drought
Wind,wind
Wolke,cloud
dunstig,misty
eisig,icy
kühl,chilly
vereist,frosty
heiß,hot
kalt,cold
klar,clear
kühl,cool
nass,wet
neblig,foggy
regnerisch,rainy
schneebedeckt,snowy
sonnig,sunny
stürmisch,stormy
trocken,dry
warm,warm
windig,windy
wolkig,cloudy
gefrieren,freeze
schmelzen,melt
tauen,thaw
